projectid,projeto,cliente,bu,pm,fase,especialidade,ano,mes,horas_orcadas,horas_reais,variancia_horas,status_horas,data_referencia
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Instalação,Instalação,2024,6,100,111,11,Acima Orcado,2024-06-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Testes,Testes,2024,9,142,165,23,Acima Orcado,2024-09-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Startup,Gestão,2024,10,114,108,-6,Dentro Orcado,2024-10-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Entrega,Gestão,2024,9,86,89,3,Acima Orcado,2024-09-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Proposta,Gestão,2024,1,67,54,-13,Dentro Orcado,2024-01-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Planejamento,Gestão,2024,3,107,85,-22,Dentro Orcado,2024-03-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Engenharia,Gestão,2024,3,122,103,-19,Dentro Orcado,2024-03-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Software,Software,2024,4,200,179,-21,Dentro Orcado,2024-04-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Hardware,Hardware,2024,7,165,0,-165,Dentro Orcado,2024-07-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Instalação,Instalação,2024,6,105,0,-105,Dentro Orcado,2024-06-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Testes,Testes,2024,9,183,0,-183,Dentro Orcado,2024-09-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Startup,Gestão,2024,10,156,0,-156,Dentro Orcado,2024-10-01
PRJ-2008,Projeto 8,Omega Foods,Automotive,Ricardo Lima,Entrega,Gestão,2024,9,153,0,-153,Dentro Orcado,2024-09-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Proposta,Gestão,2024,1,57,52,-5,Dentro Orcado,2024-01-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Planejamento,Gestão,2024,3,52,50,-2,Dentro Orcado,2024-03-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Engenharia,Gestão,2024,5,51,59,8,Acima Orcado,2024-05-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Software,Software,2024,5,139,135,-4,Dentro Orcado,2024-05-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Hardware,Hardware,2024,7,53,56,3,Acima Orcado,2024-07-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Instalação,Instalação,2024,6,193,192,-1,Dentro Orcado,2024-06-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Testes,Testes,2024,9,55,57,2,Acima Orcado,2024-09-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Startup,Gestão,2024,8,51,47,-4,Dentro Orcado,2024-08-01
PRJ-2009,Projeto 9,Gamma Energy,Automação,Marcos Pereira,Entrega,Gestão,2024,11,136,161,25,Acima Orcado,2024-11-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Proposta,Gestão,2024,3,153,0,-153,Dentro Orcado,2024-03-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Planejamento,Gestão,2024,2,159,0,-159,Dentro Orcado,2024-02-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Engenharia,Gestão,2024,4,117,0,-117,Dentro Orcado,2024-04-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Software,Software,2024,4,194,0,-194,Dentro Orcado,2024-04-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Hardware,Hardware,2024,6,67,0,-67,Dentro Orcado,2024-06-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Instalação,Instalação,2024,7,186,0,-186,Dentro Orcado,2024-07-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Testes,Testes,2024,9,125,0,-125,Dentro Orcado,2024-09-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Startup,Gestão,2024,8,127,0,-127,Dentro Orcado,2024-08-01
PRJ-2010,Projeto 10,Beta Manufacturing,Energia,Ana Souza,Entrega,Gestão,2024,10,69,0,-69,Dentro Orcado,2024-10-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Proposta,Gestão,2024,3,90,0,-90,Dentro Orcado,2024-03-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Planejamento,Gestão,2024,2,160,0,-160,Dentro Orcado,2024-02-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Engenharia,Gestão,2024,4,137,0,-137,Dentro Orcado,2024-04-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Software,Software,2024,5,139,0,-139,Dentro Orcado,2024-05-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Hardware,Hardware,2024,5,95,0,-95,Dentro Orcado,2024-05-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Instalação,Instalação,2024,8,110,0,-110,Dentro Orcado,2024-08-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Testes,Testes,2024,7,148,0,-148,Dentro Orcado,2024-07-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Startup,Gestão,2024,10,158,0,-158,Dentro Orcado,2024-10-01
PRJ-2011,Projeto 11,Beta Manufacturing,Alimentos,Carlos Silva,Entrega,Gestão,2024,11,108,0,-108,Dentro Orcado,2024-11-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Proposta,Gestão,2024,3,160,0,-160,Dentro Orcado,2024-03-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Planejamento,Gestão,2024,3,110,0,-110,Dentro Orcado,2024-03-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Engenharia,Gestão,2024,3,91,0,-91,Dentro Orcado,2024-03-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Software,Software,2024,5,121,0,-121,Dentro Orcado,2024-05-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Hardware,Hardware,2024,5,168,0,-168,Dentro Orcado,2024-05-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Instalação,Instalação,2024,6,174,0,-174,Dentro Orcado,2024-06-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Testes,Testes,2024,7,187,0,-187,Dentro Orcado,2024-07-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Startup,Gestão,2024,8,198,0,-198,Dentro Orcado,2024-08-01
PRJ-2012,Projeto 12,Delta Automotive,Automação,Marcos Pereira,Entrega,Gestão,2024,10,102,0,-102,Dentro Orcado,2024-10-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Proposta,Gestão,2024,2,177,0,-177,Dentro Orcado,2024-02-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Planejamento,Gestão,2024,4,57,0,-57,Dentro Orcado,2024-04-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Engenharia,Gestão,2024,4,164,0,-164,Dentro Orcado,2024-04-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Software,Software,2024,5,127,0,-127,Dentro Orcado,2024-05-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Hardware,Hardware,2024,6,117,0,-117,Dentro Orcado,2024-06-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Instalação,Instalação,2024,7,107,0,-107,Dentro Orcado,2024-07-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Testes,Testes,2024,9,93,0,-93,Dentro Orcado,2024-09-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Startup,Gestão,2024,8,119,0,-119,Dentro Orcado,2024-08-01
PRJ-2013,Projeto 13,Gamma Energy,Automação,Ana Souza,Entrega,Gestão,2024,9,115,0,-115,Dentro Orcado,2024-09-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Proposta,Gestão,2024,2,59,68,9,Acima Orcado,2024-02-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Planejamento,Gestão,2024,2,188,215,27,Acima Orcado,2024-02-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Engenharia,Gestão,2024,3,104,108,4,Acima Orcado,2024-03-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Software,Software,2024,6,196,217,21,Acima Orcado,2024-06-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Hardware,Hardware,2024,7,87,84,-3,Dentro Orcado,2024-07-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Instalação,Instalação,2024,6,93,94,1,Acima Orcado,2024-06-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Testes,Testes,2024,8,78,84,6,Acima Orcado,2024-08-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Startup,Gestão,2024,10,121,120,-1,Dentro Orcado,2024-10-01
PRJ-2014,Projeto 14,Beta Manufacturing,Automotive,Marcos Pereira,Entrega,Gestão,2024,11,145,156,11,Acima Orcado,2024-11-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Proposta,Gestão,2024,1,75,0,-75,Dentro Orcado,2024-01-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Planejamento,Gestão,2024,4,136,0,-136,Dentro Orcado,2024-04-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Engenharia,Gestão,2024,3,155,0,-155,Dentro Orcado,2024-03-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Software,Software,2024,6,101,0,-101,Dentro Orcado,2024-06-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Hardware,Hardware,2024,5,148,0,-148,Dentro Orcado,2024-05-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Instalação,Instalação,2024,8,86,0,-86,Dentro Orcado,2024-08-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Testes,Testes,2024,8,124,0,-124,Dentro Orcado,2024-08-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Startup,Gestão,2024,10,73,0,-73,Dentro Orcado,2024-10-01
PRJ-2015,Projeto 15,Gamma Energy,Automação,Ricardo Lima,Entrega,Gestão,2024,10,57,0,-57,Dentro Orcado,2024-10-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Proposta,Gestão,2024,3,121,117,-4,Dentro Orcado,2024-03-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Planejamento,Gestão,2024,3,83,72,-11,Dentro Orcado,2024-03-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Engenharia,Gestão,2024,4,138,136,-2,Dentro Orcado,2024-04-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Software,Software,2024,5,144,156,12,Acima Orcado,2024-05-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Hardware,Hardware,2024,5,101,0,-101,Dentro Orcado,2024-05-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Instalação,Instalação,2024,7,107,0,-107,Dentro Orcado,2024-07-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Testes,Testes,2024,9,166,0,-166,Dentro Orcado,2024-09-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Startup,Gestão,2024,9,169,0,-169,Dentro Orcado,2024-09-01
PRJ-2016,Projeto 16,Alfa Industria,Industrial,Fernando Alves,Entrega,Gestão,2024,9,183,0,-183,Dentro Orcado,2024-09-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Proposta,Gestão,2024,3,113,123,10,Acima Orcado,2024-03-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Planejamento,Gestão,2024,3,83,79,-4,Dentro Orcado,2024-03-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Engenharia,Gestão,2024,5,80,86,6,Acima Orcado,2024-05-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Software,Software,2024,6,62,56,-6,Dentro Orcado,2024-06-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Hardware,Hardware,2024,7,61,57,-4,Dentro Orcado,2024-07-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Instalação,Instalação,2024,8,98,89,-9,Dentro Orcado,2024-08-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Testes,Testes,2024,7,88,98,10,Acima Orcado,2024-07-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Startup,Gestão,2024,10,133,159,26,Acima Orcado,2024-10-01
PRJ-2017,Projeto 17,Omega Foods,Automação,Ricardo Lima,Entrega,Gestão,2024,11,195,219,24,Acima Orcado,2024-11-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Proposta,Gestão,2024,2,160,154,-6,Dentro Orcado,2024-02-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Planejamento,Gestão,2024,3,140,139,-1,Dentro Orcado,2024-03-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Engenharia,Gestão,2024,5,93,87,-6,Dentro Orcado,2024-05-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Software,Software,2024,4,83,70,-13,Dentro Orcado,2024-04-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Hardware,Hardware,2024,7,96,0,-96,Dentro Orcado,2024-07-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Instalação,Instalação,2024,7,85,0,-85,Dentro Orcado,2024-07-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Testes,Testes,2024,9,190,0,-190,Dentro Orcado,2024-09-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Startup,Gestão,2024,8,87,0,-87,Dentro Orcado,2024-08-01
PRJ-2018,Projeto 18,Omega Foods,Automotive,Ricardo Lima,Entrega,Gestão,2024,10,57,0,-57,Dentro Orcado,2024-10-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Proposta,Gestão,2024,3,116,126,10,Acima Orcado,2024-03-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Planejamento,Gestão,2024,3,50,55,5,Acima Orcado,2024-03-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Engenharia,Gestão,2024,3,174,175,1,Acima Orcado,2024-03-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Software,Software,2024,6,139,154,15,Acima Orcado,2024-06-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Hardware,Hardware,2024,6,97,97,0,Dentro Orcado,2024-06-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Instalação,Instalação,2024,7,93,95,2,Acima Orcado,2024-07-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Testes,Testes,2024,9,91,96,5,Acima Orcado,2024-09-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Startup,Gestão,2024,9,182,172,-10,Dentro Orcado,2024-09-01
PRJ-2019,Projeto 19,Alfa Industria,Automação,Ana Souza,Entrega,Gestão,2024,9,62,59,-3,Dentro Orcado,2024-09-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Proposta,Gestão,2024,3,130,123,-7,Dentro Orcado,2024-03-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Planejamento,Gestão,2024,2,75,87,12,Acima Orcado,2024-02-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Engenharia,Gestão,2024,4,138,138,0,Dentro Orcado,2024-04-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Software,Software,2024,6,172,157,-15,Dentro Orcado,2024-06-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Hardware,Hardware,2024,5,177,188,11,Acima Orcado,2024-05-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Instalação,Instalação,2024,8,110,110,0,Dentro Orcado,2024-08-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Testes,Testes,2024,8,60,69,9,Acima Orcado,2024-08-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Startup,Gestão,2024,10,184,194,10,Acima Orcado,2024-10-01
PRJ-2020,Projeto 20,Omega Foods,Alimentos,Carlos Silva,Entrega,Gestão,2024,11,62,58,-4,Dentro Orcado,2024-11-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Proposta,Gestão,2024,1,173,0,-173,Dentro Orcado,2024-01-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Planejamento,Gestão,2024,4,187,0,-187,Dentro Orcado,2024-04-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Engenharia,Gestão,2024,5,183,0,-183,Dentro Orcado,2024-05-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Software,Software,2024,4,154,0,-154,Dentro Orcado,2024-04-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Hardware,Hardware,2024,6,170,0,-170,Dentro Orcado,2024-06-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Instalação,Instalação,2024,8,144,0,-144,Dentro Orcado,2024-08-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Testes,Testes,2024,8,137,0,-137,Dentro Orcado,2024-08-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Startup,Gestão,2024,9,183,0,-183,Dentro Orcado,2024-09-01
PRJ-2021,Projeto 21,Omega Foods,Energia,Fernando Alves,Entrega,Gestão,2024,10,171,0,-171,Dentro Orcado,2024-10-01
PRJ-2022,Projeto 22,Alfa Industria,Alimentos,Ricardo Lima,Proposta,Gestão,2024,2,139,0,-139,Dentro Orcado,2024-02-01
